0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.2,0.5,0.95,1.5,2.2,2.5,2.9,2.95,3.15,3.1,3.55,4.05,4.1,4.9,5.15,6.25,6.85,3.65,0.7,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.4,1.0,1.5,2.8,2.7,2.9,3.35,3.55,4.0,3.8,4.6,4.55,5.0,4.8,5.9,6.2,6.25,7.85,9.15,6.2,1.85,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.9,2.4,3.6,4.1,3.65,3.7,3.4,3.85,3.55,4.1,3.85,4.4,4.2,5.35,5.05,5.75,6.75,7.35,9.15,10.7,8.35,3.15,0.7,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.05,2.0,2.95,3.55,3.95,4.3,4.3,4.05,3.7,4.2,4.2,4.4,4.7,5.15,5.45,5.85,6.55,6.5,7.35,8.5,10.6,11.9,9.55,4.1,0.9,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.15,2.25,3.1,3.75,4.7,4.7,4.15,4.5,4.35,4.4,4.6,4.85,5.5,6.15,6.15,6.35,6.8,6.75,7.1,8.0,9.65,11.5,12.75,10.65,4.4,1.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.1,2.15,3.05,4.0,4.85,4.85,4.95,4.5,4.85,5.1,5.25,5.6,5.5,6.2,7.35,7.2,6.4,6.55,6.7,7.3,8.9,10.35,12.75,13.65,11.45,5.3,1.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.25,2.2,3.25,4.3,5.25,5.1,4.45,4.75,5.05,5.4,5.7,6.2,7.2,7.45,7.3,7.45,6.7,6.1,6.8,6.55,8.1,9.4,11.2,13.9,15.8,14.4,6.65,2.05,0.4,0.15,0.1,0.3,0.2,0.0,0.0
0.0,0.0,1.05,2.25,3.4,4.1,5.0,4.75,4.9,5.05,5.85,5.7,6.8,7.65,7.6,8.15,7.85,7.2,6.75,6.85,6.7,6.25,6.65,8.4,9.85,12.0,16.2,23.55,23.9,15.65,9.7,7.55,5.3,9.9,6.3,0.0,0.0
0.0,0.0,1.2,2.2,3.5,4.5,5.35,5.55,5.45,5.85,5.8,6.95,8.05,8.3,8.45,8.9,9.35,7.45,7.05,6.4,6.25,5.8,5.5,6.15,7.95,10.7,14.35,26.45,55.75,59.95,50.35,46.4,39.45,44.1,31.5,0.0,0.0
0.0,0.0,1.15,2.35,3.3,4.4,5.5,5.15,5.65,6.05,6.65,7.55,8.7,9.55,10.0,10.6,8.3,6.85,6.65,6.3,5.0,6.05,5.5,4.8,6.25,8.2,12.7,24.85,61.65,93.45,95.4,91.6,86.3,88.5,70.5,0.0,0.0
0.0,0.0,1.35,2.05,3.35,4.45,5.5,5.45,5.4,6.2,7.15,8.65,9.75,10.9,9.5,2.3,1.5,4.0,4.35,3.4,4.75,4.2,4.45,4.4,4.75,5.95,9.65,23.5,56.6,96.05,123.85,146.85,144.7,149.4,135.35,0.0,0.0
0.0,0.0,1.1,2.4,3.45,4.6,5.55,5.4,5.8,6.5,7.45,8.8,10.7,4.15,0.35,0.05,0.0,0.1,0.2,2.0,1.75,2.4,2.4,2.9,3.3,3.45,7.0,20.2,54.45,91.95,128.4,179.9,132.25,140.15,125.0,0.0,0.0
0.0,0.0,1.1,2.25,3.5,4.8,5.4,5.65,5.65,6.4,8.15,10.5,4.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,1.1,1.35,1.45,2.2,4.8,18.45,51.8,91.65,125.9,185.35,180.8,137.6,133.25,0.0,0.0
0.0,0.0,1.2,2.3,3.2,4.4,5.5,5.65,5.95,6.3,8.35,9.45,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.55,0.45,0.8,2.9,16.95,48.0,88.75,125.25,178.05,144.2,150.1,118.2,0.0,0.0
0.0,0.0,1.3,2.4,3.3,4.5,5.6,5.6,5.5,7.15,8.05,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.55,3.35,16.5,48.55,88.15,123.0,180.55,135.85,99.85,69.0,0.0,0.0
0.0,0.0,1.3,2.25,3.6,4.85,5.6,5.6,6.05,7.15,8.5,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.45,0.55,0.7,3.4,17.45,48.5,87.25,119.8,177.15,134.0,80.15,46.35,78.2,113.5
0.0,0.0,1.0,2.6,3.5,4.7,5.55,5.95,5.85,6.55,8.65,9.7,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.35,0.8,0.85,0.95,1.5,4.05,18.4,48.05,87.45,120.75,181.25,139.25,86.7,41.8,81.8,112.95
0.0,0.0,1.35,2.35,3.75,4.9,5.75,5.35,6.05,7.0,8.5,10.6,4.05,0.15,0.0,0.0,0.0,0.0,0.0,0.05,0.9,1.5,1.6,1.6,1.95,2.1,5.85,20.25,52.45,87.7,122.75,179.55,132.8,101.05,71.2,0.0,0.0
0.0,0.0,1.15,2.3,3.55,4.35,5.5,5.8,5.6,6.5,7.85,9.35,10.9,4.0,0.45,0.2,0.05,0.0,0.05,2.05,2.55,2.3,2.85,3.0,2.95,3.35,7.9,22.45,54.0,90.65,122.25,173.35,139.25,141.9,123.05,0.0,0.0
0.0,0.0,1.2,2.1,3.1,4.3,5.4,5.05,5.45,6.2,8.05,9.0,10.1,11.05,10.0,2.05,1.25,4.95,5.15,4.65,4.25,4.7,4.1,3.85,3.75,5.0,8.35,25.5,56.4,90.2,123.65,182.35,164.35,138.05,132.2,0.0,0.0
0.0,0.0,1.05,2.1,3.0,4.0,5.3,5.5,5.85,6.4,7.1,8.4,9.4,10.1,10.4,10.75,9.1,6.75,6.9,6.1,5.7,5.5,4.6,5.0,5.35,5.35,11.5,26.75,57.7,92.3,127.85,180.05,137.35,129.3,120.05,0.0,0.0
0.0,0.0,1.1,2.2,3.4,4.45,5.15,5.0,5.5,6.0,6.55,7.6,8.65,9.25,9.5,10.4,9.85,7.75,7.45,6.5,6.3,5.5,6.55,6.1,6.45,9.0,13.4,26.95,58.6,96.45,123.9,144.7,144.05,150.65,129.5,0.0,0.0
0.0,0.0,1.15,2.3,3.35,4.35,5.3,5.25,5.35,5.6,5.85,6.8,7.45,8.2,8.85,8.9,9.35,8.6,7.65,7.35,7.0,6.95,6.4,7.35,8.35,10.2,14.45,28.25,64.35,94.15,96.55,92.55,87.25,88.35,68.8,0.0,0.0
0.0,0.0,1.05,2.55,3.95,4.7,5.65,5.45,5.6,5.75,5.85,5.7,7.35,7.5,8.45,8.5,8.5,8.3,7.2,7.35,7.35,7.35,7.45,8.5,9.7,11.85,16.15,31.0,59.8,61.3,49.65,46.65,38.8,42.95,28.4,0.0,0.0
0.0,0.0,1.4,2.45,3.35,4.8,5.25,5.5,5.5,5.2,5.45,5.9,6.1,6.9,7.35,8.0,7.8,7.85,7.7,7.9,7.55,7.9,8.6,9.2,10.5,12.2,16.8,27.55,26.75,16.15,9.25,6.8,5.95,8.45,6.05,0.0,0.0
0.0,0.0,1.15,2.25,3.65,4.8,5.6,5.45,5.35,5.35,5.5,5.45,5.8,6.2,6.85,7.2,7.45,7.7,7.95,7.4,7.75,8.0,8.45,9.8,11.2,13.85,16.05,13.9,5.85,1.0,0.1,0.15,0.15,0.25,0.3,0.0,0.0
0.0,0.0,1.15,2.45,3.45,4.6,5.6,5.3,5.2,5.5,5.6,5.15,5.5,6.1,6.75,6.85,7.0,7.3,7.3,7.3,7.35,7.95,9.05,9.6,12.7,13.7,11.15,4.3,0.35,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.1,2.25,3.25,4.5,5.35,5.6,5.6,5.65,5.55,5.2,4.8,5.7,6.35,6.55,6.4,6.65,7.1,6.85,7.6,8.4,9.0,11.35,12.45,9.5,3.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.25,2.35,3.45,4.5,5.75,5.65,5.75,5.3,5.65,6.15,6.3,6.45,6.0,6.55,6.5,7.15,7.25,7.8,8.0,8.4,9.95,11.25,7.45,1.85,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.1,2.25,3.25,4.2,5.25,5.25,4.85,4.95,4.9,5.2,5.55,5.55,5.75,5.15,5.85,5.55,5.95,6.35,6.95,7.5,7.7,4.05,0.85,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
