policy,step,mean_evacuation_rate,std_evacuation_rate,mean_escaped,std_escaped
no_robot,113,0.455,0.044211,63.7,6.19
no_robot,114,0.46,0.044055,64.4,6.168
no_robot,115,0.465357,0.044105,65.15,6.175
no_robot,116,0.47,0.04424,65.8,6.194
no_robot,117,0.475,0.043828,66.5,6.136
no_robot,118,0.481071,0.044908,67.35,6.287
no_robot,119,0.486786,0.045247,68.15,6.335
no_robot,120,0.491429,0.04577,68.8,6.408
no_robot,121,0.496786,0.04746,69.55,6.644
no_robot,122,0.503214,0.047888,70.45,6.704
no_robot,123,0.508929,0.047049,71.25,6.587
no_robot,124,0.514643,0.047621,72.05,6.667
no_robot,125,0.52,0.04752,72.8,6.653
no_robot,126,0.524643,0.048153,73.45,6.741
no_robot,127,0.532143,0.048734,74.5,6.823
no_robot,128,0.535357,0.049253,74.95,6.895
no_robot,129,0.543214,0.048418,76.05,6.778
no_robot,130,0.548214,0.049789,76.75,6.97
no_robot,131,0.553929,0.050024,77.55,7.003
no_robot,132,0.559286,0.048661,78.3,6.812
no_robot,133,0.565357,0.05042,79.15,7.059
no_robot,134,0.570714,0.049275,79.9,6.899
no_robot,135,0.575714,0.049559,80.6,6.938
no_robot,136,0.581429,0.050173,81.4,7.024
no_robot,137,0.587143,0.05079,82.2,7.111
no_robot,138,0.592143,0.051055,82.9,7.148
no_robot,139,0.599643,0.050733,83.95,7.103
no_robot,140,0.605357,0.052093,84.75,7.293
no_robot,141,0.611429,0.05128,85.6,7.179
no_robot,142,0.616786,0.052014,86.35,7.282
no_robot,143,0.621786,0.053092,87.05,7.433
no_robot,144,0.628214,0.053855,87.95,7.54
no_robot,145,0.633571,0.054262,88.7,7.597
no_robot,146,0.64,0.053757,89.6,7.526
no_robot,147,0.645357,0.054223,90.35,7.591
no_robot,148,0.651786,0.055919,91.25,7.829
no_robot,149,0.655714,0.056315,91.8,7.884
no_robot,150,0.660714,0.056447,92.5,7.903
no_robot,151,0.667857,0.055993,93.5,7.839
no_robot,152,0.673214,0.055964,94.25,7.835
no_robot,153,0.678214,0.057697,94.95,8.078
no_robot,154,0.682857,0.058484,95.6,8.188
no_robot,155,0.689286,0.057121,96.5,7.997
no_robot,156,0.695357,0.058697,97.35,8.218
no_robot,157,0.701071,0.056842,98.15,7.958
no_robot,158,0.706786,0.056581,98.95,7.921
no_robot,159,0.712857,0.05452,99.8,7.633
no_robot,160,0.718214,0.055119,100.55,7.717
no_robot,161,0.722857,0.053433,101.2,7.481
no_robot,162,0.728214,0.052269,101.95,7.318
no_robot,163,0.733929,0.050803,102.75,7.112
no_robot,164,0.738214,0.050014,103.35,7.002
no_robot,165,0.743571,0.047321,104.1,6.625
no_robot,166,0.748571,0.047035,104.8,6.585
no_robot,167,0.754286,0.044972,105.6,6.296
no_robot,168,0.758571,0.044869,106.2,6.282
no_robot,169,0.763214,0.041911,106.85,5.867
no_robot,170,0.768571,0.041735,107.6,5.843
no_robot,171,0.772143,0.038657,108.1,5.412
no_robot,172,0.775714,0.038226,108.6,5.352
no_robot,173,0.779643,0.03623,109.15,5.072
no_robot,174,0.7825,0.033917,109.55,4.748
no_robot,175,0.784286,0.033472,109.8,4.686
no_robot,176,0.786071,0.033157,110.05,4.642
no_robot,177,0.787857,0.029974,110.3,4.196
no_robot,178,0.788929,0.029405,110.45,4.117
no_robot,179,0.790357,0.027597,110.65,3.864
no_robot,180,0.791786,0.025582,110.85,3.582
no_robot,181,0.792857,0.02369,111.0,3.317
no_robot,182,0.793571,0.022235,111.1,3.113
no_robot,183,0.794286,0.021969,111.2,3.076
no_robot,184,0.795357,0.018935,111.35,2.651
no_robot,185,0.795714,0.018817,111.4,2.634
no_robot,186,0.796429,0.015731,111.5,2.202
no_robot,187,0.796429,0.015731,111.5,2.202
no_robot,188,0.7975,0.012632,111.65,1.768
no_robot,189,0.7975,0.012632,111.65,1.768
no_robot,190,0.798214,0.00955,111.75,1.337
no_robot,191,0.798214,0.00955,111.75,1.337
no_robot,192,0.798929,0.006498,111.85,0.91
no_robot,193,0.798929,0.006498,111.85,0.91
no_robot,194,0.799643,0.003554,111.95,0.497
no_robot,195,0.799643,0.003554,111.95,0.497
no_robot,196,0.8,0.002259,112.0,0.316
no_robot,197,0.8,0.002259,112.0,0.316
no_robot,198,0.8,0.002259,112.0,0.316
no_robot,199,0.800357,0.001557,112.05,0.218
no_robot,200,0.800357,0.001557,112.05,0.218
default_stay,0,0.0,0.0,0.0,0.0
default_stay,1,0.0,0.0,0.0,0.0
default_stay,2,0.0,0.0,0.0,0.0
default_stay,3,0.0,0.0,0.0,0.0
default_stay,4,0.0,0.0,0.0,0.0
default_stay,5,0.0,0.0,0.0,0.0
default_stay,6,0.0,0.0,0.0,0.0
default_stay,7,0.0,0.0,0.0,0.0
default_stay,8,0.0,0.0,0.0,0.0
default_stay,9,0.0,0.0,0.0,0.0
default_stay,10,0.0,0.0,0.0,0.0
default_stay,11,0.0,0.0,0.0,0.0
default_stay,12,0.0,0.0,0.0,0.0
default_stay,13,0.0,0.0,0.0,0.0
default_stay,14,0.0,0.0,0.0,0.0
default_stay,15,0.0,0.0,0.0,0.0
default_stay,16,0.0,0.0,0.0,0.0
default_stay,17,0.0,0.0,0.0,0.0
default_stay,18,0.0,0.0,0.0,0.0
default_stay,19,0.0,0.0,0.0,0.0
default_stay,20,0.0,0.0,0.0,0.0
default_stay,21,0.0,0.0,0.0,0.0
default_stay,22,0.0,0.0,0.0,0.0
default_stay,23,0.0,0.0,0.0,0.0
default_stay,24,0.0,0.0,0.0,0.0
default_stay,25,0.0,0.0,0.0,0.0
default_stay,26,0.0,0.0,0.0,0.0
default_stay,27,0.0,0.0,0.0,0.0
default_stay,28,0.0,0.0,0.0,0.0
default_stay,29,0.0,0.0,0.0,0.0
default_stay,30,0.0,0.0,0.0,0.0
default_stay,31,0.0,0.0,0.0,0.0
default_stay,32,0.0125,0.003093,1.75,0.433
default_stay,33,0.014286,0.0,2.0,0.0
default_stay,34,0.026429,0.003273,3.7,0.458
default_stay,35,0.028571,0.0,4.0,0.0
default_stay,36,0.04,0.003499,5.6,0.49
default_stay,37,0.042143,0.002143,5.9,0.3
default_stay,38,0.053929,0.003554,7.55,0.497
default_stay,39,0.056429,0.002143,7.9,0.3
default_stay,40,0.066429,0.003977,9.3,0.557
default_stay,41,0.070357,0.002551,9.85,0.357
default_stay,42,0.079643,0.004088,11.15,0.572
default_stay,43,0.084286,0.002857,11.8,0.4
default_stay,44,0.092143,0.004461,12.9,0.624
default_stay,45,0.096786,0.003554,13.55,0.497
default_stay,46,0.103929,0.006176,14.55,0.865
default_stay,47,0.110357,0.004778,15.45,0.669
default_stay,48,0.117143,0.006145,16.4,0.86
default_stay,49,0.123214,0.006339,17.25,0.887
default_stay,50,0.13,0.006227,18.2,0.872
default_stay,51,0.135357,0.006176,18.95,0.865
default_stay,52,0.141071,0.008105,19.75,1.135
default_stay,53,0.1475,0.00823,20.65,1.152
default_stay,54,0.153929,0.008292,21.55,1.161
default_stay,55,0.16,0.009147,22.4,1.281
default_stay,56,0.167143,0.008571,23.4,1.2
default_stay,57,0.1725,0.010171,24.15,1.424
default_stay,58,0.178214,0.011175,24.95,1.564
default_stay,59,0.183929,0.011926,25.75,1.67
default_stay,60,0.190357,0.012011,26.65,1.682
default_stay,61,0.196429,0.013267,27.5,1.857
default_stay,62,0.202143,0.012995,28.3,1.819
default_stay,63,0.209286,0.013382,29.3,1.873
default_stay,64,0.215357,0.013224,30.15,1.851
default_stay,65,0.220714,0.014446,30.9,2.022
default_stay,66,0.226429,0.015988,31.7,2.238
default_stay,67,0.233571,0.015,32.7,2.1
default_stay,68,0.239286,0.015403,33.5,2.156
default_stay,69,0.245714,0.014708,34.4,2.059
default_stay,70,0.25,0.015649,35.0,2.191
default_stay,71,0.254643,0.015856,35.65,2.22
default_stay,72,0.263571,0.015633,36.9,2.189
default_stay,73,0.268929,0.015856,37.65,2.22
default_stay,74,0.276786,0.015131,38.75,2.118
default_stay,75,0.281429,0.016812,39.4,2.354
default_stay,76,0.287857,0.017943,40.3,2.512
default_stay,77,0.293214,0.018827,41.05,2.636
default_stay,78,0.298929,0.019597,41.85,2.744
default_stay,79,0.305,0.019704,42.7,2.759
default_stay,80,0.311786,0.021222,43.65,2.971
default_stay,81,0.318214,0.021366,44.55,2.991
default_stay,82,0.324286,0.021237,45.4,2.973
default_stay,83,0.331071,0.023065,46.35,3.229
default_stay,84,0.336429,0.024317,47.1,3.404
default_stay,85,0.343571,0.024212,48.1,3.39
default_stay,86,0.349643,0.024793,48.95,3.471
default_stay,87,0.355714,0.024805,49.8,3.473
default_stay,88,0.3625,0.026037,50.75,3.645
default_stay,89,0.368929,0.025483,51.65,3.568
default_stay,90,0.374286,0.026764,52.4,3.747
default_stay,91,0.380357,0.026619,53.25,3.727
default_stay,92,0.3875,0.02756,54.25,3.858
default_stay,93,0.393571,0.027096,55.1,3.793
default_stay,94,0.400714,0.027655,56.1,3.872
default_stay,95,0.406786,0.028074,56.95,3.93
default_stay,96,0.413571,0.029957,57.9,4.194
default_stay,97,0.418571,0.028067,58.6,3.929
default_stay,98,0.425,0.028705,59.5,4.019
default_stay,99,0.431786,0.028792,60.45,4.031
default_stay,100,0.437857,0.029632,61.3,4.148
default_stay,101,0.445,0.028935,62.3,4.051
default_stay,102,0.451071,0.029301,63.15,4.102
default_stay,103,0.459286,0.028935,64.3,4.051
default_stay,104,0.465357,0.029301,65.15,4.102
default_stay,105,0.472857,0.030186,66.2,4.226
default_stay,106,0.478214,0.030091,66.95,4.213
default_stay,107,0.485357,0.030845,67.95,4.318
default_stay,108,0.491429,0.030186,68.8,4.226
default_stay,109,0.498214,0.029526,69.75,4.134
default_stay,110,0.505357,0.029785,70.75,4.17
default_stay,111,0.511786,0.029126,71.65,4.078
default_stay,112,0.518571,0.030921,72.6,4.329
default_stay,113,0.523929,0.030412,73.35,4.258
default_stay,114,0.530714,0.032662,74.3,4.573
default_stay,115,0.538214,0.030412,75.35,4.258
default_stay,116,0.543214,0.031418,76.05,4.399
default_stay,117,0.550357,0.032692,77.05,4.577
default_stay,118,0.555357,0.032331,77.75,4.526
default_stay,119,0.563214,0.033295,78.85,4.661
default_stay,120,0.567143,0.032686,79.4,4.576
default_stay,121,0.574286,0.03436,80.4,4.81
default_stay,122,0.580714,0.032584,81.3,4.562
default_stay,123,0.587143,0.034449,82.2,4.823
default_stay,124,0.594286,0.033166,83.2,4.643
default_stay,125,0.599643,0.035173,83.95,4.924
default_stay,126,0.6075,0.034735,85.05,4.863
default_stay,127,0.612857,0.034523,85.8,4.833
default_stay,128,0.620714,0.034099,86.9,4.774
default_stay,129,0.626429,0.034039,87.7,4.766
default_stay,130,0.632143,0.033693,88.5,4.717
default_stay,131,0.639643,0.033157,89.55,4.642
default_stay,132,0.645714,0.034137,90.4,4.779
default_stay,133,0.652143,0.032818,91.3,4.595
default_stay,134,0.659286,0.033814,92.3,4.734
default_stay,135,0.665714,0.032467,93.2,4.545
default_stay,136,0.6725,0.033295,94.15,4.661
default_stay,137,0.678929,0.031982,95.05,4.477
default_stay,138,0.685714,0.032811,96.0,4.593
default_stay,139,0.691071,0.03241,96.75,4.537
default_stay,140,0.699286,0.032725,97.9,4.581
default_stay,141,0.703929,0.031822,98.55,4.455
default_stay,142,0.712143,0.032349,99.7,4.529
default_stay,143,0.717143,0.031004,100.4,4.341
default_stay,144,0.725,0.031582,101.5,4.422
default_stay,145,0.730714,0.030979,102.3,4.337
default_stay,146,0.737857,0.031872,103.3,4.462
default_stay,147,0.743571,0.032016,104.1,4.482
default_stay,148,0.751786,0.031774,105.25,4.448
default_stay,149,0.756071,0.030911,105.85,4.328
default_stay,150,0.763929,0.031092,106.95,4.353
default_stay,151,0.7675,0.029836,107.45,4.177
default_stay,152,0.774286,0.029658,108.4,4.152
default_stay,153,0.776786,0.028201,108.75,3.948
default_stay,154,0.7825,0.025801,109.55,3.612
default_stay,155,0.784286,0.02501,109.8,3.501
default_stay,156,0.788571,0.021946,110.4,3.072
default_stay,157,0.79,0.020874,110.6,2.922
default_stay,158,0.792143,0.018336,110.9,2.567
default_stay,159,0.793929,0.015856,111.15,2.22
default_stay,160,0.795357,0.013415,111.35,1.878
default_stay,161,0.796071,0.011622,111.45,1.627
default_stay,162,0.797143,0.009422,111.6,1.319
default_stay,163,0.7975,0.008534,111.65,1.195
default_stay,164,0.799286,0.005,111.9,0.7
default_stay,165,0.799643,0.004211,111.95,0.589
default_stay,166,0.800714,0.002143,112.1,0.3
default_stay,167,0.800714,0.002143,112.1,0.3
default_stay,168,0.800714,0.002143,112.1,0.3
default_stay,169,0.800714,0.002143,112.1,0.3
default_stay,170,0.800714,0.002143,112.1,0.3
default_stay,171,0.800714,0.002143,112.1,0.3
default_stay,172,0.800714,0.002143,112.1,0.3
default_stay,173,0.800714,0.002143,112.1,0.3
default_stay,174,0.800714,0.002143,112.1,0.3
default_stay,175,0.800714,0.002143,112.1,0.3
default_stay,176,0.800714,0.002143,112.1,0.3
default_stay,177,0.800714,0.002143,112.1,0.3
default_stay,178,0.800714,0.002143,112.1,0.3
default_stay,179,0.800714,0.002143,112.1,0.3
default_stay,180,0.800714,0.002143,112.1,0.3
default_stay,181,0.800714,0.002143,112.1,0.3
default_stay,182,0.800714,0.002143,112.1,0.3
default_stay,183,0.800714,0.002143,112.1,0.3
default_stay,184,0.800714,0.002143,112.1,0.3
default_stay,185,0.800714,0.002143,112.1,0.3
default_stay,186,0.800714,0.002143,112.1,0.3
default_stay,187,0.800714,0.002143,112.1,0.3
default_stay,188,0.800714,0.002143,112.1,0.3
default_stay,189,0.800714,0.002143,112.1,0.3
default_stay,190,0.800714,0.002143,112.1,0.3
default_stay,191,0.800714,0.002143,112.1,0.3
default_stay,192,0.800714,0.002143,112.1,0.3
default_stay,193,0.800714,0.002143,112.1,0.3
default_stay,194,0.800714,0.002143,112.1,0.3
default_stay,195,0.800714,0.002143,112.1,0.3
default_stay,196,0.800714,0.002143,112.1,0.3
default_stay,197,0.800714,0.002143,112.1,0.3
default_stay,198,0.800714,0.002143,112.1,0.3
default_stay,199,0.800714,0.002143,112.1,0.3
default_stay,200,0.800714,0.002143,112.1,0.3
static_good,0,0.0,0.0,0.0,0.0
static_good,1,0.0,0.0,0.0,0.0
static_good,2,0.0,0.0,0.0,0.0
static_good,3,0.0,0.0,0.0,0.0
static_good,4,0.0,0.0,0.0,0.0
static_good,5,0.0,0.0,0.0,0.0
static_good,6,0.0,0.0,0.0,0.0
static_good,7,0.0,0.0,0.0,0.0
static_good,8,0.0,0.0,0.0,0.0
static_good,9,0.0,0.0,0.0,0.0
static_good,10,0.0,0.0,0.0,0.0
static_good,11,0.0,0.0,0.0,0.0
static_good,12,0.0,0.0,0.0,0.0
static_good,13,0.0,0.0,0.0,0.0
static_good,14,0.0,0.0,0.0,0.0
static_good,15,0.0,0.0,0.0,0.0
static_good,16,0.0,0.0,0.0,0.0
static_good,17,0.0,0.0,0.0,0.0
static_good,18,0.0,0.0,0.0,0.0
static_good,19,0.0,0.0,0.0,0.0
static_good,20,0.0,0.0,0.0,0.0
static_good,21,0.0,0.0,0.0,0.0
static_good,22,0.0,0.0,0.0,0.0
static_good,23,0.0,0.0,0.0,0.0
static_good,24,0.0,0.0,0.0,0.0
static_good,25,0.0,0.0,0.0,0.0
static_good,26,0.0,0.0,0.0,0.0
static_good,27,0.0,0.0,0.0,0.0
static_good,28,0.0,0.0,0.0,0.0
static_good,29,0.0,0.0,0.0,0.0
static_good,30,0.0,0.0,0.0,0.0
static_good,31,0.0,0.0,0.0,0.0
static_good,32,0.012857,0.003642,1.8,0.51
static_good,33,0.013929,0.001557,1.95,0.218
static_good,34,0.026786,0.00383,3.75,0.536
static_good,35,0.027857,0.002143,3.9,0.3
static_good,36,0.04,0.004738,5.6,0.663
static_good,37,0.041786,0.002551,5.85,0.357
static_good,38,0.052857,0.004738,7.4,0.663
static_good,39,0.055,0.003977,7.7,0.557
static_good,40,0.063571,0.006349,8.9,0.889
static_good,41,0.0675,0.004211,9.45,0.589
static_good,42,0.076429,0.006814,10.7,0.954
static_good,43,0.079286,0.007107,11.1,0.995
static_good,44,0.0875,0.008105,12.25,1.135
static_good,45,0.091429,0.008018,12.8,1.122
static_good,46,0.099643,0.008292,13.95,1.161
static_good,47,0.104286,0.009689,14.6,1.356
static_good,48,0.11,0.01069,15.4,1.497
static_good,49,0.115,0.009556,16.1,1.338
static_good,50,0.119643,0.011266,16.75,1.577
static_good,51,0.123929,0.012221,17.35,1.711
static_good,52,0.13,0.012897,18.2,1.806
static_good,53,0.134643,0.014156,18.85,1.982
static_good,54,0.139643,0.014893,19.55,2.085
static_good,55,0.145714,0.016194,20.4,2.267
static_good,56,0.151429,0.015908,21.2,2.227
static_good,57,0.157143,0.015649,22.0,2.191
static_good,58,0.161071,0.015726,22.55,2.202
static_good,59,0.166786,0.015531,23.35,2.174
static_good,60,0.173214,0.017184,24.25,2.406
static_good,61,0.178929,0.016518,25.05,2.312
static_good,62,0.184286,0.018708,25.8,2.619
static_good,63,0.188214,0.020363,26.35,2.851
static_good,64,0.194643,0.019016,27.25,2.662
static_good,65,0.198929,0.019856,27.85,2.78
static_good,66,0.205357,0.019933,28.75,2.791
static_good,67,0.211071,0.02076,29.55,2.906
static_good,68,0.215714,0.01964,30.2,2.75
static_good,69,0.220714,0.021535,30.9,3.015
static_good,70,0.227143,0.020898,31.8,2.926
static_good,71,0.231786,0.022186,32.45,3.106
static_good,72,0.237143,0.021261,33.2,2.977
static_good,73,0.242143,0.022463,33.9,3.145
static_good,74,0.246071,0.021485,34.45,3.008
static_good,75,0.251786,0.021174,35.25,2.964
static_good,76,0.257143,0.021309,36.0,2.983
static_good,77,0.262143,0.021911,36.7,3.068
static_good,78,0.266429,0.023046,37.3,3.226
static_good,79,0.271429,0.023365,38.0,3.271
static_good,80,0.275714,0.024682,38.6,3.455
static_good,81,0.280357,0.023569,39.25,3.3
static_good,82,0.285,0.021771,39.9,3.048
static_good,83,0.289286,0.02298,40.5,3.217
static_good,84,0.296071,0.022754,41.45,3.186
static_good,85,0.300357,0.023634,42.05,3.309
static_good,86,0.306429,0.023679,42.9,3.315
static_good,87,0.312143,0.024754,43.7,3.466
static_good,88,0.317857,0.024064,44.5,3.369
static_good,89,0.321786,0.025402,45.05,3.556
static_good,90,0.327143,0.0264,45.8,3.696
static_good,91,0.3325,0.026771,46.55,3.748
static_good,92,0.3375,0.026037,47.25,3.645
static_good,93,0.342857,0.027105,48.0,3.795
static_good,94,0.347857,0.026544,48.7,3.716
static_good,95,0.352857,0.027609,49.4,3.865
static_good,96,0.357857,0.027655,50.1,3.872
static_good,97,0.363571,0.030296,50.9,4.241
static_good,98,0.368571,0.029225,51.6,4.091
static_good,99,0.373571,0.030397,52.3,4.256
static_good,100,0.380357,0.031288,53.25,4.38
static_good,101,0.385714,0.031542,54.0,4.416
static_good,102,0.390714,0.03155,54.7,4.417
static_good,103,0.396429,0.032537,55.5,4.555
static_good,104,0.402143,0.032973,56.3,4.616
static_good,105,0.4075,0.033539,57.05,4.695
static_good,106,0.413214,0.032754,57.85,4.586
static_good,107,0.418214,0.033539,58.55,4.695
static_good,108,0.423571,0.033814,59.3,4.734
static_good,109,0.429286,0.035203,60.1,4.928
static_good,110,0.433571,0.035793,60.7,5.011
static_good,111,0.439286,0.037559,61.5,5.258
static_good,112,0.443571,0.039247,62.1,5.495
static_good,113,0.448929,0.039595,62.85,5.543
static_good,114,0.455714,0.04057,63.8,5.68
static_good,115,0.462857,0.040254,64.8,5.636
static_good,116,0.467143,0.040557,65.4,5.678
static_good,117,0.474286,0.039859,66.4,5.58
static_good,118,0.478929,0.040183,67.05,5.626
static_good,119,0.486071,0.040056,68.05,5.608
static_good,120,0.491429,0.039936,68.8,5.591
static_good,121,0.498929,0.040234,69.85,5.633
static_good,122,0.503214,0.039672,70.45,5.554
static_good,123,0.511071,0.040056,71.55,5.608
static_good,124,0.516429,0.040223,72.3,5.631
static_good,125,0.522857,0.040381,73.2,5.653
static_good,126,0.528571,0.041404,74.0,5.797
