0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.1,0.25,0.9,1.4,1.8,2.9,3.85,4.5,5.65,6.0,6.5,6.35,6.1,5.85,6.65,6.6,6.55,2.2,0.35,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.25,1.05,1.5,2.3,2.9,3.6,4.65,5.3,6.0,6.5,7.45,6.75,6.85,6.8,7.3,6.75,7.3,7.4,9.4,5.0,1.3,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.95,2.3,3.5,4.3,4.0,5.2,5.5,5.9,6.65,7.05,6.6,6.65,6.8,7.2,6.7,6.05,6.3,6.6,8.95,11.55,8.1,2.3,0.3,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.05,2.05,2.95,4.05,4.9,5.7,5.75,6.65,7.65,7.45,6.9,6.7,6.3,6.0,6.1,6.0,5.85,5.7,5.95,7.45,11.15,15.1,12.3,6.05,3.75,1.95,1.15,0.35,0.15,0.0,0.0,0.1,0.0,0.0,0.0
0.0,0.0,1.15,2.25,3.4,4.4,5.65,6.0,6.9,7.75,8.05,8.9,7.15,6.65,6.85,6.4,5.35,5.2,5.45,4.9,5.5,7.35,8.8,14.55,22.35,22.15,17.3,14.9,15.15,8.3,8.0,0.85,0.85,0.85,0.65,0.0,0.0
0.0,0.0,1.15,2.25,3.4,4.8,6.55,7.25,8.4,8.7,9.15,9.65,6.4,6.5,5.85,5.4,4.95,4.8,4.7,4.8,4.45,5.15,7.55,12.5,23.2,43.5,50.9,49.65,56.1,39.15,0.0,14.6,21.35,17.1,9.95,0.0,0.0
0.0,0.0,1.3,2.55,4.0,5.8,7.45,8.1,8.9,10.05,8.75,1.55,5.3,5.1,3.7,3.25,4.2,3.25,3.65,3.1,3.7,3.4,4.85,10.05,18.7,46.8,115.85,113.55,0.0,0.0,0.0,0.0,0.0,93.15,89.65,0.0,0.0
0.0,0.0,1.05,2.5,4.4,5.75,7.85,8.2,9.9,0.95,1.05,0.3,0.35,0.3,1.95,2.05,1.9,3.0,2.55,3.0,2.75,2.4,3.75,7.15,16.35,45.35,124.7,3.8,0.0,0.0,0.0,0.0,0.0,0.0,123.8,0.0,0.0
0.0,0.0,1.05,2.45,4.2,5.8,8.1,9.9,0.7,0.45,0.05,0.0,0.0,0.0,0.0,0.8,1.1,1.0,1.6,1.75,1.8,2.0,1.85,4.3,10.75,36.2,85.15,3.75,0.0,0.0,0.0,0.0,0.0,0.0,122.8,0.0,0.0
0.0,0.0,1.3,2.55,4.2,6.3,7.85,8.75,0.35,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.25,0.6,0.6,0.6,0.85,1.2,1.2,1.8,7.5,32.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0
0.0,0.0,1.4,2.5,4.25,5.9,8.6,0.8,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.15,0.4,0.35,0.7,0.55,0.8,0.95,2.2,9.65,35.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,0.0,0.0
